Player,Captain,Type,Team,Base,Owner,Price,Sale,Sold,Set,Overseas,Country,Batting,Bowling,Test Caps,ODI Caps,T20I Caps,IPL,2024 Team,2024 IPL,Cap/Un
Aaron Hardie,,AR,PK,1.25,,,Unsold,1.25,3,Y,Australia,RHB,Right Arm Medium,,8,10,,,,Capped
Abdul Samad,,AR,LSG,0.3,Sher-E-Punjab,0.4,Sold,4.2,8,,India,RHB,Right Arm Leg Spin,,,,50,SRH,16,Uncapped
Abhinandan Singh,,BOWL,RCB,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast Medium,,,,,,,Uncapped
Abhinav Manohar,,BAT,SRH,0.3,Royal Smashers,1.6,Sold,3.2,8,,India,RHB,Right Arm Leg Spin,,,,18,GT,2,Uncapped
Abhishek Sharma,,AR,SRH,3,Royal Smashers,10,Sold,14,Marquee,,,,,,,,,,,Capped
Abishek Porel,,WK,DC,3,Royal Smashers,4.9,Sold,4,Marquee,,,,,,,,,,,Uncapped
Adam Zampa,,BOWL,SRH,2,Kingsmen,2,Sold,2.4,1,Y,Australia,RHB,Right Arm Leg Spin,103,,92,20,RR,0,Capped
Aiden Markram,,BAT,LSG,2,Sher-E-Punjab,3.1,Sold,2,1,Y,South Africa,RHB,Right Arm Off Spin,41,71,53,44,SRH,11,Capped
Ajay Mandal,,AR,DC,0.3,,,Unsold,0.3,8,,India,LHB,Left Arm Slow Unorthodox,,,,0,CSK,0,Uncapped
Ajinkya Rahane,Captain,BAT,KKR,1.5,Sher-E-Punjab,5.2,Sold,1.5,2,,India,RHB,,85,90,20,185,CSK,13,Capped
Akash Deep,,BOWL,LSG,1,,,Unsold,8,4,,India,RHB,Right Arm Fast,4,,,8,RCB,1,Capped
Akash Madhwal,,BOWL,RR,0.3,Silly Pointers,0.3,Sold,1.2,8,,India,RHB,Right Arm Fast,,,,12,MI,5,Uncapped
Akash Singh,,BOWL,LSG,0.3,,,Unsold,0.3,8,,India,RHB,Left Arm Fast,,,,7,SRH,0,Uncapped
Andre Russell,,AR,KKR,3,,,Unsold,12,Marquee,Y,,,,,,,,,,Capped
Angkrish Raghuvanshi,,BAT,KKR,0.3,Royal Smashers,2,Sold,3,8,,India,RHB,Right Arm Off Spin,,,,10,KKR,10,Uncapped
Aniket Verma,,BAT,SRH,0.3,,,Unsold,0.3,8,,India,RHB,,,,,,,,Uncapped
Anrich Nortje,,BOWL,KKR,2,,,Unsold,6.5,1,Y,South Africa,RHB,Right Arm Fast,19,22,42,46,DC,6,Capped
Anshul Kamboj,,AR,CSK,0.3,Sher-E-Punjab,0.8,Sold,3.4,8,,India,RHB,Right Arm Fast Medium,,,,3,MI,3,Uncapped
Anuj Rawat,,WK,GT,0.3,,,Unsold,0.3,8,,India,LHB,Right Arm Leg Spin,,,,24,RCB,5,Uncapped
Anukul Roy,,AR,KKR,0.3,,,Unsold,0.4,8,,India,LHB,Left Arm Slow Orthodox,,,,11,KKR,4,Uncapped
Arjun Tendulkar,,BOWL,MI,0.3,,,Unsold,0.3,8,,India,LHB,Left Arm Fast Medium,,,,5,MI,1,Uncapped
Arshad Khan,,AR,GT,0.3,,,Unsold,1.3,8,,India,LHB,Left Arm Fast Medium,,,,10,LSG,4,Uncapped
Arshdeep Singh,,BOWL,PK,2,Sher-E-Punjab,11,Sold,18,1,,India,LHB,Left Arm Fast Medium,,8,56,65,PBKS,14,Capped
Arshin Kulkarni,,AR,LSG,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast Medium,,,,2,LSG,2,Uncapped
Aryan Juyal,,WK,LSG,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Off Spin,,,,0,,,Uncapped
Ashok Sharma,,BOWL,RR,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast,,,,,,,Uncapped
Ashutosh Sharma,,AR,DC,0.3,Kingsmen,0.3,Sold,3.8,8,,India,RHB,Right Arm Medium,,,,11,PBKS,11,Uncapped
Ashwani Kumar,,BOWL,MI,0.3,,,Unsold,0.3,8,,India,LHB,Left Arm Fast,,,,,,,Uncapped
Atharva Taide,,BAT,SRH,0.3,,,Unsold,0.3,8,,India,LHB,Left Arm Slow Orthodox,,,,9,PBKS,2,Uncapped
Avesh Khan,,BOWL,LSG,2,Kingsmen,2,Sold,9.75,1,,India,RHB,Right Arm Fast,,8,23,63,RR,16,Capped
Axar Patel,Captain,AR,DC,3,Sher-E-Punjab,9.2,Sold,16.5,Marquee,,,,,,,,,,,Capped
Ayush Badoni,,AR,LSG,3,Sher-E-Punjab,3,Sold,4,Marquee,,,,,,,,,,,Uncapped
Azmatullah Omarzai,,AR,PK,1.5,Silly Pointers,1.5,Sold,2.4,2,Y,Afghanistan,RHB,Right Arm Fast Medium,,30,44,7,GT,7,Capped
Bevon Jacobs,,BAT,MI,0.3,,,Unsold,0.3,8,Y,New Zealand,RHB,Right Arm Fast Medium,,,,,,,Uncapped
Bhuvneshwar Kumar,,BOWL,RCB,2,Royal Smashers,10,Sold,10.75,1,,India,RHB,Right Arm Fast Medium,21,121,87,176,SRH,16,Capped
Brydon Carse,,AR,SRH,0.75,,,Unsold,0.75,5,Y,South Africa,RHB,Right Arm Fast Medium,18,25,11,,,,Capped
C Andre Siddarth,,BAT,CSK,0.3,Kingsmen,0.3,Sold,0.3,8,,India,RHB,,,,,,,,Uncapped
Corbin Bosch,,AR,MI,0.75,,,Unsold,0.75,5,Y,South Africa,RHB,Right Arm Fast Medium,1,2,1,,,,Capped
Darshan Nalkande,,AR,DC,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast Medium,,,,5,GT,3,Uncapped
David Miller,,BAT,LSG,1.5,,,Unsold,7.5,2,Y,South Africa,LHB,,,173,125,130,GT,9,Capped
Deepak Chahar,,BOWL,MI,2,Royal Smashers,4,Sold,9.25,1,,India,RHB,Right Arm Fast Medium,,13,25,81,CSK,8,Capped
Deepak Hooda,,AR,CSK,0.75,,,Unsold,1.7,5,,India,RHB,Right Arm Off Spin,,10,21,118,LSG,11,Capped
Devdutt Padikkal,,BAT,RCB,2,Royal Smashers,3.2,Sold,2,1,,India,LHB,,1,,2,64,LSG,7,Capped
Devon Conway,,BAT,CSK,2,Kingsmen,3.4,Sold,6.25,1,Y,New Zealand,LHB,,24,32,50,23,CSK,0,Capped
Dhruv Jurel,,BAT,RR,3,Sher-E-Punjab,3,Sold,14,Marquee,,,,,,,,,,,Capped
Digvesh Rathi,,BOWL,LSG,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Leg Spin,,,,,,,Uncapped
Donovan Ferreira,,WK,DC,0.75,,,Unsold,0.75,5,Y,South Africa,RHB,Right Arm Off Spin,,,4,2,RR,2,Capped
Dushmantha Chameera,,BOWL,DC,0.75,,,Unsold,0.75,5,Y,Sri Lanka,RHB,Right Arm Fast,12,52,55,13,LSG,1,Capped
Eshan Malinga,,BOWL,SRH,0.3,,,Unsold,1.2,8,Y,Sri Lanka,LHB,Right Arm Fast,,,,,,,Uncapped
Faf du Plessis,,BAT,DC,2,Silly Pointers,5.6,Sold,2,1,Y,South Africa,RHB,,69,143,50,145,RCB,15,Capped
Fazalhaq Farooqi,,BOWL,RR,2,,,Unsold,2,1,Y,Afghanistan,RHB,Left Arm Fast Medium,,34,42,7,SRH,0,Capped
Gerald Coetzee,,BOWL,GT,1.25,Kingsmen,1.25,Sold,2.4,3,Y,South Africa,RHB,Right Arm Fast,3,14,6,10,Mi,10,Capped
